id,dayID,subjectID,attr_starttime,attr_endtime,label_activity,label_subactivity
1,1,5,11.03.15 08:06:34,11.03.15 08:07:44,PersonalGrooming,
2,1,5,11.03.15 08:08:35,11.03.15 08:24:19,DeskWork,
3,1,5,11.03.15 08:24:59,11.03.15 08:25:44,PersonalGrooming,
4,1,5,11.03.15 08:26:36,11.03.15 10:03:22,DeskWork,
5,1,5,11.03.15 10:07:47,11.03.15 10:33:48,Socializing,Somethingelse
6,1,5,11.03.15 10:38:02,11.03.15 10:47:55,Eating/Drinking,Brunch
7,1,5,11.03.15 10:43:33,11.03.15 10:48:49,Socializing,Somethingelse
8,1,5,11.03.15 10:55:16,11.03.15 11:21:15,DeskWork,
9,1,5,11.03.15 11:21:52,11.03.15 11:24:02,PersonalGrooming,
10,1,5,11.03.15 11:24:35,11.03.15 11:56:01,DeskWork,
11,1,5,11.03.15 11:35:11,11.03.15 11:56:38,Socializing,Somethingelse
12,1,5,11.03.15 11:59:31,11.03.15 13:30:58,DeskWork,
13,1,5,11.03.15 13:46:02,11.03.15 14:05:16,Eating/Drinking,Lunch
14,1,5,11.03.15 14:12:48,11.03.15 14:14:39,PersonalGrooming,
15,1,5,11.03.15 14:15:17,11.03.15 17:06:14,DeskWork,
16,1,5,11.03.15 17:10:33,11.03.15 17:18:24,Movement,GoforaWalk
17,1,5,11.03.15 17:18:16,11.03.15 17:25:26,Shopping,
18,1,5,11.03.15 17:38:50,11.03.15 17:39:51,Housework,TidyingUp
19,1,5,11.03.15 17:39:56,11.03.15 17:41:27,PersonalGrooming,
20,1,5,11.03.15 17:41:32,11.03.15 17:46:38,Housework,TidyingUp
21,1,5,11.03.15 17:46:34,11.03.15 18:00:05,Eating/Drinking,Snack
22,1,5,11.03.15 17:51:07,11.03.15 17:51:09,DeskWork,
23,1,5,11.03.15 17:51:13,11.03.15 17:51:26,Housework,Somethingelse
24,1,5,11.03.15 17:51:19,11.03.15 18:05:32,Housework,TidyingUp
25,1,5,11.03.15 17:52:28,11.03.15 17:58:28,Socializing,atHome
26,1,5,11.03.15 18:05:34,11.03.15 18:57:09,DeskWork,
27,1,5,11.03.15 18:57:12,11.03.15 19:01:47,Mealpreparation,
28,1,5,11.03.15 19:01:58,11.03.15 19:19:36,Eating/Drinking,Dinner
29,2,5,12.03.15 07:25:50,12.03.15 07:27:58,Housework,TidyingUp
30,2,5,12.03.15 07:28:02,12.03.15 07:30:14,Mealpreparation,
31,2,5,12.03.15 07:30:18,12.03.15 07:33:24,Eating/Drinking,Breakfast
32,2,5,12.03.15 07:33:31,12.03.15 07:33:50,Housework,Somethingelse
33,2,5,12.03.15 07:33:54,12.03.15 07:49:12,Eating/Drinking,Breakfast
34,2,5,12.03.15 07:49:13,12.03.15 07:57:38,DeskWork,
35,2,5,12.03.15 07:57:44,12.03.15 08:03:46,Housework,Cleaning
36,2,5,12.03.15 08:04:12,12.03.15 08:09:57,PersonalGrooming,
37,2,5,12.03.15 08:42:01,12.03.15 08:51:29,Transportation,Bicycle
38,2,5,12.03.15 08:54:14,12.03.15 08:54:36,Mealpreparation,
39,2,5,12.03.15 08:54:59,12.03.15 11:15:51,DeskWork,
40,2,5,12.03.15 11:16:28,12.03.15 11:19:01,PersonalGrooming,
